coords_xyz,name,ULS_v_x_max,ULS_v_y_max,ULS_m_xD+_max,ULS_m_xD-_max,ULS_m_yD+_max,ULS_m_yD-_max,ULS_Mx,ULS_My,SLS_kar_v_x_max,SLS_kar_v_y_max,SLS_kar_m_xD+_max,SLS_kar_m_xD-_max,SLS_kar_m_yD+_max,SLS_kar_m_yD-_max,SLS_kar_Mx,SLS_kar_My,SLS_freq_v_x_max,SLS_freq_v_y_max,SLS_freq_m_xD+_max,SLS_freq_m_xD-_max,SLS_freq_m_yD+_max,SLS_freq_m_yD-_max,SLS_freq_Mx,SLS_freq_My
"('0', '11.5', '0')",1-1,646398.3801253793,192812.08829800243,-660826.4907823947,0.0,-72635.09769680745,0.0,660826.4907823947,0.0,587634.8785116015,175283.71300724644,-600751.342652229,0.0,-66031.90556654903,0.0,600751.342652229,0.0,480781.46756336174,147480.0569160724,-499090.2830119029,0.0,-53122.833713517655,0.0,499090.2830119029,0.0
"('0', '10.5', '0')",1-1,569172.7758613535,14266.699846967766,-642275.2821947143,0.0,-132964.3777141172,0.0,642275.2821947143,0.0,517429.7854231024,12969.726891398,-583886.6079826871,0.0,-120876.70448178984,0.0,583886.6079826871,0.0,431265.85359254933,11878.49242274924,-487219.66663889727,0.0,-100629.66399986508,0.0,487219.66663889727,0.0
"('1', '10.5', '0')",1-1,355315.57062477584,15025.637944669295,-267792.58530790615,0.0,-67207.62555947271,0.0,267792.58530790615,0.0,323014.14836396393,13659.67057871924,-243447.79970663405,0.0,-61097.84011980569,0.0,243447.79970663405,0.0,269278.1114398426,11617.836313215024,-201745.10793631256,0.0,-50149.38090688025,0.0,201745.10793631256,0.0
"('1', '11.5', '0')",1-1,512132.9416812,63483.245980153646,-290923.9937018893,0.0,-33007.22341423491,19896.501721320557,290923.9937018893,19896.501721320557,465575.391696052,57712.04056881627,-264476.3523472734,0.0,-30006.566089838743,18087.72844304172,264476.3523472734,18087.72844304172,384209.6498924624,47168.770208052665,-218962.0071963942,0.0,-23962.96201112893,14427.633009703852,218962.0071963942,14427.633009703852
"('2', '10.5', '0')",1-1,215325.6675137275,13537.202317489322,-32400.61064157724,164344.3494906844,-31096.869153544438,38815.746482024624,164344.3494906844,38815.746482024624,195750.60272943293,12306.5472946167,-29455.09994482994,149403.9509057569,-28269.880435943604,35287.04150755553,149403.9509057569,35287.04150755553,162687.6275483646,7610.368771041507,-21732.815185587715,122280.77522116044,-22598.28551032515,28956.596826843608,122280.77522116044,28956.596826843608
"('2', '11.5', '0')",1-1,452261.0696985968,37669.672230938806,-37904.74984085232,190908.9036604692,-33751.577563122744,61279.02646382339,190908.9036604692,61279.02646382339,411146.4183140062,34245.155831336975,-34458.8627448082,173553.54509035515,-30683.251645013715,55708.20469897555,173553.54509035515,55708.20469897555,339012.2470194944,27182.234130509027,-26294.16642970424,141947.3411650201,-23707.625936639382,45952.53071664288,141947.3411650201,45952.53071664288
"('3', '10.5', '0')",1-1,130513.70069424152,13593.218441521432,0.0,320554.94465535553,0.0,48011.05914057885,320554.94465535553,48011.05914057885,118648.8163114204,12357.471042633057,0.0,291413.5799231018,0.0,43646.416484803594,291413.5799231018,43646.416484803594,97922.65460421958,5331.8310725860265,0.0,241373.6699820671,0.0,36184.726845574405,241373.6699820671,36184.726845574405
"('3', '11.5', '0')",1-1,300493.8196045278,34369.03700448462,0.0,363326.03955674486,0.0,51246.74323346051,363326.03955674486,51246.74323346051,273176.1938393296,31244.57841777801,0.0,330296.3926405085,0.0,46587.947407201194,330296.3926405085,46587.947407201194,223864.8063824946,24794.54359104843,0.0,273113.34012815217,0.0,38331.07825407231,273113.34012815217,38331.07825407231
"('4', '10.5', '0')",1-1,-59325.667429623136,13565.199135875677,0.0,354685.7027821237,0.0,36135.89425370863,354685.7027821237,36135.89425370863,-53932.42376706723,12331.998947143557,0.0,322441.54122137406,0.0,32850.812274907505,322441.54122137406,32850.812274907505,-43146.32966269203,4222.308160883924,0.0,267765.23969604325,0.0,27447.26636132179,267765.23969604325,27447.26636132179
"('4', '11.5', '0')",1-1,-142822.26443998254,28627.0189403668,0.0,397055.27911663713,0.0,25335.651508387866,397055.27911663713,25335.651508387866,-129838.41940399402,26024.56210899353,0.0,360959.3370624792,0.0,23032.409972763693,360959.3370624792,23032.409972763693,-103870.56178722848,20432.786490140912,0.0,299001.94828134583,0.0,18852.44405653067,299001.94828134583,18852.44405653067
