Kunstwerk nummer    ;Type;stadsdeel;Straat;KW naam;voorgespannen;Stichtingsjaar;Gebruik;Betonsterkteklasse;Staalkwaliteit wapening;Staalkwaliteit constructiestaal;Ontwerpbelasting;Originele berekening;Modificatie berekening;Herberekening;Vlag ARB;Basale toets GHPO;Opdrachtnemer IHA;Aantal velden;Statisch systeem (zoals aangehouden in berekening);kruisingshoek;Ldag;Lth;Constructiehoogte dek;Slankheid dek lth/h;bbrugdek;Breedte noord/oost;Breedte zuid/west;Opleggingen; Orthotropie / Isotropie;Liggers in plaat;Breedte rijwegen;Breedte trambaan;Breedte fietspad;Breedte voetpad noord/oost;Breedte voetpad zuid/west;Dikte schampkant;Randbelasting ;Steunpuntswapening (langsrichting) diameter;Steunpuntswapening (langsrichting) h.o.h.-afstand;Steunpuntswapening laag;Veldwapening (langsrichting) diameter;Veldwapening (langsrichting) h.o.h.-afstand;Veldwapening (langrichting) laag;Veldwapening (dwarsrichting) diameter;Veldwapening (dwarsrichting) h.o.h.-afstand;Veldwapening (dwarsrichting) laag;Dekking buitenkant wapening;Hoogte wand;Dikte wand;Betonkwaliteit dek;kwaliteit wapeningsstaal;Paalsysteem;paalstramien ;Conditie dek;Conditie palen;link naar DMS;Opmerkingen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU0010;Type 3;Centrum;Blauwburgwal;Lijnbaansbrug;nee;1963;Wegverkeer;;;;;;;;puur oranje;groen;;3;stat. onbepaald;77.2;"6970;8940;6970";"7650; 9500; 7650";430;"17.58; 22.09; 17.58";9600;4800;4800;Lijn;Orthotropie;Nee;6000;-;-;1300;1300;;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU0027;Type 1;Centrum;Herengracht;Beulingsluis;nee;2000;Wegverkeer;B45;B500;-;;;;;oranje/groen;groen;;1;stat.bepaald;60;9460;9660;300;32.2;9500;4066.5;5434.5;Oplegblokken;Orthotropie;Nee;4203;-;-;1965;3333;75;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU0078;Type 1;Centrum;Zeeburgerpad;Brug 78;nee;1968;Wegvekeer;;;-;;;;;puur oranje;nvt;;1;stat.bepaald;90;12000;13120;670;19.58;13800;7500;7300;Lijn;Orthotropie;Ja;8000;-;-;3000;2800;60;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU0112;Type 1;Centrum;Prinsengracht;Caetsbaanbrug;nee;1989;Wegverkeer;B25;B500;-;;;;;puur oranje;Wel;;1;stat.bepaald;90;10000;10660;550;19.38;7900;4600;3300;Oplegblokken;Orthotropie;Ja;3500;-;-;1880;580;30;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU0213;Type 2 en Type 3;Centrum;Dijksgracht;Brug 213;;1956;Wegverkeer;200kg/cm2;QR24;-;;;;;puur oranje;nvt;;6;stat. onbepaald;90;;8400 X 6 ;200;42;10905-12600;;;Lijn;Orthotropie;Ja;;;;;;;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU0291;Type 0;Centrum;Nieuwe Uilenbrugerstraat;Steenvoetsluis;nee;1978;Wegverkeer;B22.5;B400;-;;;;;puur oranje;Wel;;1;stat.bepaald;90;9000;9720;500;19.44;13740;6870;6870;Lijn;Orthotropie;Nee;7000;-;-;2930;2930;50;ja;16;125;2;25;85;2;16;180;1;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU0330A;Type 2;Westpoort;Nieuwe Hemweg;Brug 330;nee;1950;Wegverkeer;;;-;;;;;puur oranje;nvt;;3;stat. onbepaald;90;"5975;9150;5975";"6275;9450;6275";400;"15.69; 23.63; 15.69";10000;5000;5000;Lijn;Orthotropie;Nee;9000;-;-;-;-;330;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU0330B;Type 2;Westpoort;Nieuwe Hemweg;Brug 330;nee;1950;Wegverkeer;;;-;;;;;puur oranje;nvt;;3;stat. onbepaald;90;"5975;9150;5975";"6275;9450;6275";400;"15.69; 23.63; 15.69";3500;1750;1750;Oplegblokken;Orthotropie;Nee;-;-;3100;-;-;70;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU0385;Type 2;Nieuw-West;Heemstedestraat;Brug 385;nee;1960;Wegverkeer en tram;;;-;;;;;oranje/groen;nvt;;3;stat. onbepaald;90;"11225; 15800; 11225";"11675; 16150; 11675";var.;var.;28000;14000;14000;Lijn;Orthotropie;Nee;14000;6000;-;4250;4250;100;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRU0437;Type 3;Noord;Mosplein;Brug 437;nee;1967;Wegverkeer;K300;QR40;-;;;;;oranje/groen;nvt;;6;stat. onbepaald;90;"7500; 3400; 12500; 14600; 14600; 14600 ";"8250; 4000; 13000; 15000; 15000;15000";790;"10.44; 5.06; 16.46; 18.99; 18.99; 18.99";20816-35747;10408- 18084;10408-17663;;Orthotropie;Nee;15490-31236;-;-;1418-1724;1418-1650;;ja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
