gevolgklasse;toetsniveau;vergelijking;gamma_Gjsup;gamma_Gjsup_bb2003;gamma_Gjinf;gamma_Qverkeer;gamma_Qverkeer_bb2003;gamma_Qwind;gamma_Qoverig;gamma_Gset_lin;gamma_Gset_nonlin;gamma_P
CC1a/b;Verbouw;6.10a;1,1;1,1;0,9;1,1;1,1;1,2;1,1;1,2;1,35;1
CC2;Verbouw;6.10a;1,25;1,25;0,9;1,25;1,2;1,4;1,3;1,2;1,35;1
CC3;Verbouw;6.10a;1,3;1,3;0,9;1,35;1,3;1,6;1,5;1,2;1,35;1
CC1a/b;Verbouw;6.10b;1,1;1,1;0,9;1,1;1,1;1,2;1,1;1,2;1,35;1
CC2;Verbouw;6.10b;1,15;1,1;0,9;1,25;1,2;1,4;1,3;1,2;1,35;1
CC3;Verbouw;6.10b;1,2;1,15;0,9;1,35;1,3;1,6;1,5;1,2;1,35;1
CC1a/b;Gebruik;6.10a;1,05;1,05;0,9;1;1;1,1;1,05;1,2;1,35;1
CC2;Gebruik;6.10a;1,15;1,15;0,9;1,1;1,1;1,3;1,15;1,2;1,35;1
CC3;Gebruik;6.10a;1,25;1,25;0,9;1,25;1,25;1,5;1,3;1,2;1,35;1
CC1a/b;Gebruik;6.10b;1,05;1,05;0,9;1;1;1,1;1,05;1,2;1,35;1
CC2;Gebruik;6.10b;1,15;1,1;0,9;1,1;1,1;1,3;1,15;1,2;1,35;1
CC3;Gebruik;6.10b;1,15;1,15;0,9;1,25;1,25;1,5;1,3;1,2;1,35;1
CC1a/b;Afkeur;6.10a;1;1;0,9;1;1;1,1;1,05;1,2;1,35;1
CC2;Afkeur;6.10a;1,1;1,1;0,9;1,1;1,1;1,3;1,15;1,2;1,35;1
CC3;Afkeur;6.10a;1,25;1,25;0,9;1,25;1,25;1,5;1,3;1,2;1,35;1
CC1a/b;Afkeur;6.10b;1;1;0,9;1;1;1,1;1,05;1,2;1,35;1
CC2;Afkeur;6.10b;1,1;1,1;0,9;1,1;1,1;1,3;1,15;1,2;1,35;1
CC3;Afkeur;6.10b;1,15;1,1;0,9;1,25;1,25;1,5;1,3;1,2;1,35;1
