h;surface_thickness;delta_T1_heat;delta_T2_heat;delta_T3_heat;delta_T1_cool;delta_T2_cool;delta_T3_cool;delta_T4_cool
0,4;0;20;13;0;-8;-3,5;0;0
0,4;50;15;7;0;-6,5;-3,5;0;0
0,4;100;10;7;0;-5;-3;0;0
0,6;0;20;9,5;0;-8;-3,5;0;0
0,6;50;15;7;0;-6,5;-3,5;0;0
0,6;100;10;5;0;-5;-3;0;0
0,8;0;20;9,5;0;-8;-3,5;0;0
0,8;50;15;7;0;-6,5;-2,5;0;0
0,8;100;10;4,5;0;-5;-2,5;0;0
1;0;20;9,5;0;-8;-2,5;0;0
1;50;15;7;0;-6,5;-2;0;0
1;100;10;4,5;0;-5;-1,5;0;0
1,5;0;20;9,5;0;-8;-1;0;0
1,5;50;15;7;0;-6,5;-1;0;0
1,5;100;10;4,5;0;-5;-0,5;0;0
