Combinatie;Permanent;Voorspanning;Zetting;TS;UDL;Enkele as;Horizontale belasting;Fiets- en voetpaden;Mensenmenigte;Bijzondere voertuigen;Wind Fwk;Wind Fw*;Temperatuur;Sneeuw;Calamiteit;Aardbeving
6.10a Perm;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6.10a Perm zet;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
6.10a gr1a;1;1;0;0,8;0,8;0;0,8;0,4;0;0;0,3;1;0,3;0;0;0
6.10a gr1b;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6.10a gr2;1;1;0;0,8;0,8;0;0,8;0,4;0;0;0,3;1;0,3;0;0;0
6.10a gr3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6.10a gr4;1;1;0;0;0;0;0;1;0;0;0;0;0,3;0;0;0
6.10a gr5;1;1;0;0,8;0,8;0;0,8;0;0;0;0,3;1;0,3;0;0;0
6.10a Wind gr1a;1;1;0;0,8;0,8;0;0,64;0,32;0;0;0,3;0;0,3;0;0;0
6.10a Wind gr2;1;1;0;0,64;0,64;0;0,8;0,32;0;0;0,3;0;0,3;0;0;0
6.10a Temp gr1;1;1;0;0,8;0,8;0;0,64;0,32;0;0;0,3;0;0,3;0;0;0
6.10a Temp gr2;1;1;0;0,64;0,64;0;0,8;0,32;0;0;0,3;0;0,3;0;0;0
6.10a Sneeuw;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
6.10a Cal gr1a;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6.10a Cal gr2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6.10b Perm;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6.10b Perm zet;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
6.10b gr1a;1;1;0;1;1;0;0,8;0,4;0;0;0,3;1;0,3;0;0;0
6.10b gr1b;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
6.10b gr2;1;1;0;0,8;0,8;0;1;0,4;0;0;0,3;1;0,3;0;0;0
6.10b gr3;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
6.10b gr4;1;1;0;0;0;0;0;1;1;0;0;0;0,3;0;0;0
6.10b gr5;1;1;0;0,8;0,8;0;0,8;0;0;1;0,3;1;0,3;0;0;0
6.10b Wind gr1a;1;1;0;0,8;0,8;0;0,64;0,32;0;0;1;0;0,3;0;0;0
6.10b Wind gr2;1;1;0;0,64;0,64;0;0,8;0,32;0;0;1;0;0,3;0;0;0
6.10b Temp gr1;1;1;0;0,8;0,8;0;0,64;0,32;0;0;0,3;0;1;0;0;0
6.10b Temp gr2;1;1;0;0,64;0,64;0;0,8;0,32;0;0;0,3;0;1;0;0;0
6.10b Sneeuw;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
6.10b Cal gr1a;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6.10b Cal gr2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6.11b Perm;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6.11b Perm zet;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6.11b gr1a;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6.11b gr1b;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6.11b gr2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6.11b gr3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6.11b gr4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6.11b gr5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6.11b Wind gr1a;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6.11b Wind gr2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6.11b Temp gr1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6.11b Temp gr2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6.11b Sneeuw;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6.11b Cal gr1a;1;1;0;0,8;0,8;0;0,64;0,32;0;0;0;0;0;0;1;0
6.11b Cal gr2;1;1;0;0,64;0,64;0;0,8;0,32;0;0;0;0;0;0;1;0
6.14b Perm;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6.14b Perm zet;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
6.14b gr1a;1;1;0;1;1;0;0,8;0,4;0;0;0,3;1;0,3;0;0;0
6.14b gr1b;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
6.14b gr2;1;1;0;0,8;0,8;0;1;0,4;0;0;0,3;1;0,3;0;0;0
6.14b gr3;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
6.14b gr4;1;1;0;0;0;0;0;1;1;0;0;0;0,3;0;0;0
6.14b gr5;1;1;0;0,8;0,8;0;0,8;0;0;1;0,3;1;0,3;0;0;0
6.14b Wind gr1a;1;1;0;0,8;0,8;0;0,64;0,32;0;0;1;0;0,3;0;0;0
6.14b Wind gr2;1;1;0;0,64;0,64;0;0,8;0,32;0;0;1;0;0,3;0;0;0
6.14b Temp gr1;1;1;0;0,8;0,8;0;0,64;0,32;0;0;0,3;0;1;0;0;0
6.14b Temp gr2;1;1;0;0,64;0,64;0;0,8;0,32;0;0;0,3;0;1;0;0;0
6.14b Sneeuw;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
6.14b Cal gr1a;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6.14b Cal gr2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6.15b Perm;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6.15b Perm zet;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
6.15b gr1a;1;1;0;0,8;0,8;0;0,4;0,4;0;0;0;0;0,3;0;0;0
6.15b gr1b;1;1;0;0;0;0,8;0;0;0;0;0;0;0;0;0;0
6.15b gr2;1;1;0;0;0;0;0,8;0;0;0;0;0;0,3;0;0;0
6.15b gr3;1;1;0;0;0;0;0;0,8;0;0;0;0;0;0;0;0
6.15b gr4;1;1;0;0;0;0;0;0;0,8;0;0;0;0,3;0;0;0
6.15b gr5;1;1;0;0;0;0;0;0;0;1;0;0;0,3;0;0;0
6.15b Wind gr1a;1;1;0;0,4;0,4;0;0,4;0,4;0;0;0,6;0;0,3;0;0;0
6.15b Wind gr2;1;1;0;0;0;0;0;0;0;0;0,6;0;0,3;0;0;0
6.15b Temp gr1;1;1;0;0,4;0,4;0;0,4;0,4;0;0;0;0;0,8;0;0;0
6.15b Temp gr2;1;1;0;0;0;0;0;0;0;0;0;0;0,8;0;0;0
6.15b Sneeuw;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6.15b Cal gr1a;1;1;0;0,4;0,4;0;0,4;0,4;0;0;0;0;0;0;1;0
6.15b Cal gr2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
6.16b Perm;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6.16b Perm zet;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
6.16b gr1a;1;1;0;0,4;0,4;0;0,4;0,4;0;0;0;0;0,3;0;0;0
6.16b gr1b;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6.16b gr2;1;1;0;0;0;0;0;0;0;0;0;0;0,3;0;0;0
6.16b gr3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6.16b gr4;1;1;0;0;0;0;0;0;0;0;0;0;0,3;0;0;0
6.16b gr5;1;1;0;0;0;0;0;0;0;0;0;0;0,3;0;0;0
6.16b Wind gr1a;1;1;0;0,4;0,4;0;0,4;0,4;0;0;0;0;0,3;0;0;0
6.16b Wind gr2;1;1;0;0;0;0;0;0;0;0;0;0;0,3;0;0;0
6.16b Temp gr1;1;1;0;0,4;0,4;0;0,4;0,4;0;0;0;0;0;0;0;0
6.16b Temp gr2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6.16b Sneeuw;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6.16b Cal gr1a;1;1;0;0,4;0,4;0;0,4;0,4;0;0;0;0;0;0;1;0
6.16b Cal gr2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
6.67 Perm;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6.67 Perm zet;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6.67 gr1a;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6.67 gr1b;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6.67 gr2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6.67 gr3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6.67 gr4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6.67 gr5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6.67 Wind gr1a;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6.67 Wind gr2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6.67 Temp gr1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6.67 Temp gr2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6.67 Sneeuw;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6.67 Cal gr1a;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6.67 Cal gr2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6.69 Perm;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6.69 Perm zet;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6.69 gr1a;1;1;0;0,56;0,24;0;0;0;0;0;0;0;0;0;0;0
6.69 gr1b;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6.69 gr2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6.69 gr3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6.69 gr4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6.69 gr5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6.69 Wind gr1a;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6.69 Wind gr2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6.69 Temp gr1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6.69 Temp gr2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6.69 Sneeuw;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6.69 Cal gr1a;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6.69 Cal gr2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
