"MPRL table v3.0"
"TableName";;"VB 74+84"
"TableID";"9aad65b1-64d4-44a7-adcf-de11c8b67c9b"
"TableType";"Material"
"Group";"#LNG080"
"TableParam1";"Concrete"
"TableParam2";"ECEN"
"TableParam3";""
;;
"Header";"ElementID";"E";"G";"Poisson";"UnitMass";"SpecificHeat";"ThermalExpansion";"ThermalConductivity";"Ecm";"Fck";"Fcm";"Fctm";"Fctk_0_05";"Fctk_0_95";"NFactor";"Epsc1";"Epsc2";"Epsc3";"Epscu1";"Epscu2";"Epscu3";"StoneDiameter";"CementClass";"AggregateType";"DiagramType";"PlainConcreteDiagram";"SilicaFume";"CalculateDependentValues"
"Unit";;"MPa";"MPa";"-";"kg/m3";"K";"-";"10e-6/K";"MPa";"MPa";"MPa";"MPa";"MPa";"MPa";"-";"1e-4";"1e-4";"1e-4";"1e-4";"1e-4";"1e-4";"mm";"-";"-";"-";"-";"boolean";"boolean"
"UnitCoeff";;1000000;1000000;1;1;1;1;1,00E-006;1000000;1000000;1000000;1000000;1000000;1000000;1;0,0001;0,0001;0,0001;0,0001;0,0001;0,0001;0,001;;;;;;;
"Data"
"B12,5";"{a60f6fcc-26d2-4ee0-b969-d0ea5442a774}";26242,4532595547;10934,3555248145;0,2;2450;0,75;1,2E-05;800000;26242,4532595547;10;18;1,39247665008383;0,974733655058683;1,81021964510898;2;17,1487518751282;20;17,5;35;35;35;16;1;0;1;"False";"False";"True"
"B17,5";"{e6577a89-8724-4f15-b562-c375c7317cb6}";27870,8032242425;11612,8346767677;0,2;2450;0,75;1,2E-05;800000;27870,8032242425;14;22;1,74263572006911;1,21984500404838;2,26542643608984;2;18,2494201988243;20;17,5;35;35;35;16;1;0;1;"False";"False";"True"
"B22,5";"{bfd8c7a4-f175-4a3f-a613-8e0dfab22987}";29303,1754377746;12209,6564324061;0,2;2450;0,75;1,2E-05;800000;29303,1754377746;18;26;2,060485636596;1,4423399456172;2,6786313275748;2;19,2193978910341;20;17,5;35;35;35;16;1;0;1;"False";"False";"True"
"B30";"{4873cb86-7435-4300-a1c3-611df0041669}";31475,8062100193;13114,9192541747;0,2;2450;0,75;1,2E-05;800000;31475,8062100193;25;33;2,56496392001505;1,79547474401053;3,33445309601956;2;20,6936624821052;20;17,5;35;35;35;16;1;0;1;"False";"False";"True"
"B37,5";"{3a47e964-f1ab-4a72-88e4-a41bfe675a64}";32836,5680313308;13681,9033463878;0,2;2450;0,75;1,2E-05;800000;32836,5680313308;30;38;2,89646815381689;2,02752770767182;3,76540859996196;2;21,6187686973548;20;17,5;35;35;35;16;1;0;1;"False";"False";"True"
"B45";"{a9de1fe9-27c9-4cee-8278-c4f41ba3d402}";34077,1461991893;14198,8109163289;0,2;2450;0,75;1,2E-05;800000;34077,1461991893;35;43;3,20996244169524;2,24697370918667;4,17295117420381;2;22,4632846919647;20;17,5;35;35;35;16;1;0;1;"False";"False";"True"
"B52,5";"{8ddcbd02-ba35-44de-a89b-68aaf908d842}";36788,3725409161;15328,488558715;0,2;2450;0,75;1,2E-05;800000;36788,3725409161;47,5;55,5;3,93474864481287;2,75432405136901;5,11517323825673;2;24,3124577962083;20;17,5;35;35;35;16;1;0;1;"False";"False";"True"
"B60";"{400cb21f-f0be-4a79-ad4e-bf41695d57c3}";37277,8690916147;15532,4454548394;0,2;2450;0,75;1,2E-05;800000;37277,8690916147;50;58;4,07162642489236;2,85013849742465;5,29311435236007;2;24,6468100486808;20;17,5;35;35;35;16;1;0;1;"False";"False";"True"
