"Betonkwaliteit";"fck[N/mm^2]";"fcd[N/mm^2]"
"K150";8;5.3
"K160";9;6
"K200";11;7.3
"K225";13;8.7
"K250";13.5;9
"K300";19;12.7
"K400";28;18.7
"K450";32;21.3
"K500";33;22
"K600";40;26.7
"B12,5";10;6.7
"B17,5";14;9.3
"B22,5";18;12
"B30";25;16.7
"B35";28;18.7
"B37,5";30;20
"B45";35;23.3
"B52,5";42.5;28.3
"B55";45;30
"B60";50;33.3
"B65";53;35.3
"C12/15";12;8
"C16/20";16;10.7
"C20/25";20;13.3
"C25/30";25;16.7
"C30/37";30;20
"C35/45";35;23.3
"C40/50";40;26.7
"C45/55";45;30
"C50/60";50;33.3
"C53/65";53;35.3
"C55/67";55;36.7
"C60/75";60;40
"C70/85";70;46.7
"C80/95";80;53.3
"C90/105";90;60
